Using device: mps
Sampling 1000 networks across 1 chunks of 1000...

--- Processing Chunk 1/1 (1000 networks) ---
Epoch 226 - Avg Loss: 0.0301, Best Loss: 0.0256
Epoch 227 - Avg Loss: 0.0301, Best Loss: 0.0256
Epoch 228 - Avg Loss: 0.0301, Best Loss: 0.0255
Epoch 229 - Avg Loss: 0.0301, Best Loss: 0.0255
Epoch 230 - Avg Loss: 0.0300, Best Loss: 0.0254
Epoch 231 - Avg Loss: 0.0300, Best Loss: 0.0255
Epoch 232 - Avg Loss: 0.0300, Best Loss: 0.0254
Epoch 233 - Avg Loss: 0.0300, Best Loss: 0.0254
Epoch 234 - Avg Loss: 0.0299, Best Loss: 0.0253
Epoch 235 - Avg Loss: 0.0299, Best Loss: 0.0253
Epoch 236 - Avg Loss: 0.0299, Best Loss: 0.0253
Epoch 237 - Avg Loss: 0.0299, Best Loss: 0.0252
Epoch 238 - Avg Loss: 0.0299, Best Loss: 0.0253
Epoch 239 - Avg Loss: 0.0299, Best Loss: 0.0252
Epoch 240 - Avg Loss: 0.0298, Best Loss: 0.0252
Epoch 241 - Avg Loss: 0.0298, Best Loss: 0.0252
Epoch 242 - Avg Loss: 0.0298, Best Loss: 0.0252
Epoch 243 - Avg Loss: 0.0298, Best Loss: 0.0252
Epoch 244 - Avg Loss: 0.0298, Best Loss: 0.0252
Epoch 245 - Avg Loss: 0.0298, Best Loss: 0.0251
Epoch 246 - Avg Loss: 0.0298, Best Loss: 0.0250
Epoch 247 - Avg Loss: 0.0298, Best Loss: 0.0250
Epoch 248 - Avg Loss: 0.0298, Best Loss: 0.0250
Epoch 249 - Avg Loss: 0.0298, Best Loss: 0.0249
Epoch 250 - Avg Loss: 0.0298, Best Loss: 0.0249
Epoch 251 - Avg Loss: 0.0298, Best Loss: 0.0249
Epoch 252 - Avg Loss: 0.0298, Best Loss: 0.0248
Epoch 253 - Avg Loss: 0.0297, Best Loss: 0.0248
Epoch 254 - Avg Loss: 0.0297, Best Loss: 0.0248
Epoch 255 - Avg Loss: 0.0297, Best Loss: 0.0247
Epoch 256 - Avg Loss: 0.0297, Best Loss: 0.0247
Epoch 257 - Avg Loss: 0.0297, Best Loss: 0.0246
Epoch 258 - Avg Loss: 0.0297, Best Loss: 0.0247
Epoch 259 - Avg Loss: 0.0297, Best Loss: 0.0248
Epoch 260 - Avg Loss: 0.0297, Best Loss: 0.0253
Epoch 261 - Avg Loss: 0.0297, Best Loss: 0.0252
Epoch 262 - Avg Loss: 0.0297, Best Loss: 0.0252
Epoch 263 - Avg Loss: 0.0297, Best Loss: 0.0252
Epoch 264 - Avg Loss: 0.0297, Best Loss: 0.0251
Epoch 265 - Avg Loss: 0.0297, Best Loss: 0.0251
Epoch 266 - Avg Loss: 0.0297, Best Loss: 0.0250
Epoch 267 - Avg Loss: 0.0297, Best Loss: 0.0250
Epoch 268 - Avg Loss: 0.0297, Best Loss: 0.0250
Epoch 269 - Avg Loss: 0.0297, Best Loss: 0.0250
Epoch 270 - Avg Loss: 0.0297, Best Loss: 0.0249
Epoch 271 - Avg Loss: 0.0296, Best Loss: 0.0249
Epoch 272 - Avg Loss: 0.0297, Best Loss: 0.0249
Epoch 273 - Avg Loss: 0.0296, Best Loss: 0.0250
Epoch 274 - Avg Loss: 0.0296, Best Loss: 0.0257
Epoch 275 - Avg Loss: 0.0296, Best Loss: 0.0259
Epoch 276 - Avg Loss: 0.0297, Best Loss: 0.0256
Epoch 277 - Avg Loss: 0.0297, Best Loss: 0.0258
Epoch 278 - Avg Loss: 0.0297, Best Loss: 0.0256
Epoch 279 - Avg Loss: 0.0297, Best Loss: 0.0258
Epoch 280 - Avg Loss: 0.0297, Best Loss: 0.0257
Epoch 281 - Avg Loss: 0.0298, Best Loss: 0.0257
Epoch 282 - Avg Loss: 0.0298, Best Loss: 0.0257
Epoch 283 - Avg Loss: 0.0298, Best Loss: 0.0257
Epoch 284 - Avg Loss: 0.0298, Best Loss: 0.0257
Epoch 285 - Avg Loss: 0.0299, Best Loss: 0.0256
Epoch 286 - Avg Loss: 0.0298, Best Loss: 0.0256
Epoch 287 - Avg Loss: 0.0299, Best Loss: 0.0256
Epoch 288 - Avg Loss: 0.0298, Best Loss: 0.0256
Epoch 289 - Avg Loss: 0.0298, Best Loss: 0.0256
